location,sample,depth,n_grains,ref
E05,E05,0,2,"von Hagke et al 2012"
E10,E10,0,1,"von Hagke et al 2012"
E20,E20,0,0,"von Hagke et al 2012"
E30,E30,0,3,"von Hagke et al 2012"
E35,E35,0,1,"von Hagke et al 2012"
E40,E40,0,5,"von Hagke et al 2012"
E45,E45,0,3,"von Hagke et al 2012"
E50,E50,0,2,"von Hagke et al 2012"
E55,E55,0,2,"von Hagke et al 2012"
E60,E60,0,6,"von Hagke et al 2012"
E65,E65,0,5,"von Hagke et al 2012"
E70b,E70b,0,3,"von Hagke et al 2012"
RH05,RH05,0,3,"von Hagke et al 2012"
RH10,RH10,0,3,"von Hagke et al 2012"
RH12,RH12,0,2,
RH15,RH15,0,3,"von Hagke et al 2012"
RH17,RH17,0,3,
RH20,RH20,0,3,
RH23,RH23,0,2,
RH30a,RH30a,0,3,"von Hagke et al 2012"
RH30b,RH30b,0,3,"von Hagke et al 2012"
RH35,RH35,0,3,"von Hagke et al 2012"
RH40,RH40,0,3,"von Hagke et al 2012"
RH45,RH45,0,3,"von Hagke et al 2012"
RH50,RH50,0,3,"von Hagke et al 2012"
RH60c,RH60c,0,2,"von Hagke et al 2012"
RH65,RH65,0,3,"von Hagke et al 2012"
RH70,RH70,0,3,"von Hagke et al 2012"
RV05,RV05,0,3,
RV10b,RV10b,0,3,
RV15,RV15,0,3,"von Hagke et al 2012"
RV20,RV20,0,3,"von Hagke et al 2012"
RV25,RV25,0,2,"von Hagke et al 2012"
RV30a,RV30a,0,3,
RV30b,RV30b,0,3,
RV30c,RV30c,0,3,"von Hagke et al 2012"
Entlebuch,E3-1,0,3,
Entlebuch,E3-2,0,3,
Entlebuch,E3-2.5,0,3,
Entlebuch,E3-3,0,3,
Entlebuch,E3-4,0,1,
Entlebuch,E3-5,0,2,
